site,plotid,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,fuel3_cm,notes,project,burnpile_ht_m,litter3_cm,duff3_cm,duff_depth_cm,litter_depth_cm,fuel_depth_cm,site_plotid_time_azimuth
BearMountain,BM1,2021,postfire,2yr,0,0,2,2,4,11.3,0,4,1,0,4.7,0,2,3.6,2.3,,,CPFMP,,,,0,3.35,2.95,BearMountain_BM1_2021_postfire_2yr_0
BearMountain,BM1,2021,postfire,2yr,180,0,2,2,4,11.3,3,0,0,0,1.1,0,0.7,0.7,1.4,,,CPFMP,,,,0,0.9,1.05,BearMountain_BM1_2021_postfire_2yr_180
BearMountain,BM1,2021,postfire,2yr,270,0,2,2,4,11.3,1,2,0,0,4,0,3.1,2.8,3.5,,,CPFMP,,,,0,3.55,3.15,BearMountain_BM1_2021_postfire_2yr_270
BearMountain,BM10,2019,postfire,immediate,0,0,2,2,4,11.3,0,0,2,0.05,2.5,0,2,,,,,CPFMP,,,,0.025,2.25,,BearMountain_BM10_2019_postfire_immediate_0
BearMountain,BM10,2019,postfire,immediate,180,0,2,2,4,11.3,0,0,1,0,1.5,0,0.05,,,,,CPFMP,,,,0,0.775,,BearMountain_BM10_2019_postfire_immediate_180
BearMountain,BM10,2019,postfire,immediate,270,0,2,2,4,11.3,0,0,0,0.05,1,0.5,1,,,,,CPFMP,,,,0.275,1,,BearMountain_BM10_2019_postfire_immediate_270
BearMountain,BM10,2019,postfire,immediate,90,0,2,2,4,11.3,2,0,1,0,0,0,1.9,,,,,CPFMP,,,,0,0.95,,BearMountain_BM10_2019_postfire_immediate_90
BearMountain,BM10,2019,prefire,,0,0,2,2,4,11.3,0,1,0,0.05,2,0.05,2.5,,,,,CPFMP,,,,0.05,2.25,,BearMountain_BM10_2019_prefire_NA_0
BearMountain,BM10,2019,prefire,,180,0,2,2,4,11.3,0,0,0,2,3,0,1,,,,,CPFMP,,,,1,2,,BearMountain_BM10_2019_prefire_NA_180
BearMountain,BM10,2019,prefire,,270,0,2,2,4,11.3,2,0,0,0,2,0,3,,,,,CPFMP,,,,0,2.5,,BearMountain_BM10_2019_prefire_NA_270
BearMountain,BM10,2019,prefire,,90,0,2,2,4,11.3,0,1,1,0,1,1,0,,,,,CPFMP,,,,0.5,0.5,,BearMountain_BM10_2019_prefire_NA_90
BearMountain,BM10,2021,postfire,2yr,90,0,2,2,4,11.3,2,1,1,0,0.5,0,3.6,0.6,3.9,,,CPFMP,,,,0,2.05,2.25,BearMountain_BM10_2021_postfire_2yr_90
BearMountain,BM10,2021,postfire,2yr,0,0,2,2,4,11.3,0,2,0,0,0.5,0,6,1.9,4,,,CPFMP,,,,0,3.25,2.95,BearMountain_BM10_2021_postfire_2yr_0
